,place,location,point,lat,lon
9,Salem (Salerh) NJ,,,,
11,Alltgoch Llanwenog Cardigan South Wales,,,,
24,"Southold, Long Island, NY",,,,
25,Brattleboroug,,,,
28,"Smithtown, Long Island, NY",,,,
30,Brattleborough,,,,
31,"Brattleborough, Vt",,,,
40,"Regent, U of NY",,,,
41,"Grabs, Glaurus, Switzerland",,,,
54,"Zurich, Switzeriand",,,,
63,East Hempfield (Lane) PA,,,,
67,"Crayfelt, Germany",,,,
70,"Easthampton, Long Island, NY",,,,
72,"St Thomas, Danish West Indies, Aug",,,,
77,"Southampton, Long Island, NY",,,,
78,"Branford, Connar",,,,
80,"Lynn, Mass, Nov Dec",,,,
95,Paulin's Kill (Warren) NJ,,,,
104,German Flats (Herkimer) NY,,,,
114,Bart (Lane) PA,,,,
119,Gnadenthal PA,,,,
121,Friedenthal PA,,,,
135,"Setauket, Long Island, NY",,,,
138,North Middleton (Cumb) PA,,,,
154,Upper Node Forest,,,,
157,Bart (Lancaster) PA,,,,
167,"Schreisheim, PAlatinate, Germany",,,,
168,"Schwartzenau, Germany",,,,
171,"Germantown, at Beggarstown",,,,
172,Ephrata Chloister,,,,
177,"Remsen's Bush, NY",,,,
180,Currie's Bush,,,,
185,Molatton PA,,,,
188,"Molatton, or Amity (Berks) PA",,,,
198,Falkner's Swamp PA,,,,
203,Hopewell (York) PA,,,,
221,"Hwitler Kill, , as",,,,
227,Deerfield (Cumb) NJ,,,,
233,St George's Parish (Northampton) NC,,,,
236,"Drysdale Parish (Caroline) Va, bef",,,,
237,"Gevalia, Gestrickland, Sweden",,,,
238,"Gestricia, Norrland, Sweden",,,,
240,"Philadelphia, as supply",,,,
242,Molatton (Berks) PA,,,,
243,"Hedmore, Sweden",,,,
252,"Thrulichen, Bohemia",,,,
265,Gravesend and New Utrecht,,,,
267,"Kelso, County Roxburgh, Scotland",,,,
278,"Cedar Creek Hundred, Del",,,,
279,Dagsborough (Sussex) Del,,,,
282,Newtown (Del) PA,,,,
285,"Klettenberg, Hohenstein, Saxony",,,,
286,Berthelsdor,,,,
289,Herrnhag PA,,,,
294,Meteucken (Mx) NJ,,,,
295,"Harpersdorf, Lower Silesia, Germany",,,,
299,"Pawagtenog, NY",,,,
308,Strasburg (Lane) PA,,,,
312,"Pennsneck, NJ",,,,
314,Holmdel (Monm) NJ,,,,
315,Marlborough (Monm) NJ,,,,
318,Pennsneck (Salem) NJ,,,,
325,Quihawken,,,,
331,"Oyster Bay, Long Island, NY",,,,
333,"Lower Aquebogu, NY",,,,
334,Lower Aquebogue,,,,
335,"Llanllwyni, Cardiganshire, Wales",,,,
340,"Junior, son of Bishop Benjamin Hershey",,,,
342,East Lampeter (Lane) PA,,,,
343,"KoUum, Friesland, Holland, to",,,,
347,Jersey Settlements (Davidson) NC,,,,
348,"Regent, U of State of NY",,,,
350,"Jamaica, Long Island, NY",,,,
351,"Dosori, Long Island, NY",,,,
355,"Setauke, NY",,,,
357,"Pollifly, Hackensack, NJ",,,,
368,"Kent, Conn, Oct",,,,
369,"Province Island, Nov Mar",,,,
390,Phillipstown (Putnam) NY,,,,
392,Fairfax Parish (Fairfax) Va,,,,
393,Norbourne Parish (Berkeley) WVa,,,,
394,"Wyoming, PA (now WilkesBarre)",,,,
395,"Westofen, Westphalia, Germany",,,,
396,Mariborough (Monmouth) NJ,,,,
401,Willenstad,,,,
403,"Winhal,",,,,
409,"Orange, at Newark Mountain, NJ",,,,
414,Herborn Seminary,,,,
437,"Gravesend, Long Island, NY",,,,
443,"Gonderach, Holland",,,,
444,"Ludinghusan's monastery, Munster, Westphalia",,,,
445,Tulpehoeken,,,,
447,Rhinebeek (Dutehess) NY,,,,
448,Kingsbury (Dutchess) NY,,,,
452,"Bridgeto, West Indies",,,,
462,Laneaster (Lane) PA,,,,
463,"Glenkilcar, Donegal, Ireland",,,,
464,"Dover, Smyrna, Mispillion, and Milford",,,,
475,Silver Run (York) PA,,,,
478,Creutznach Germany,,,,
483,Middletown Point (Monmouth) NJ,,,,
490,"Eshelbrun, Baden, Germany",,,,
497,Brecknock (Lane) PA,,,,
499,West Earl (Lane) PA,,,,
509,Prineeton U,,,,
512,"Millstone, Oct",,,,
516,Danish West Indies,,,,
518,"Bernberg-Anhalt, Germany",,,,
522,Hellam (York) PA,,,,
523,Conewago (York) PA,,,,
527,Codorus (York) PA,,,,
529,East Cocalico (Lane) PA,,,,
532,West Cocalico (Lane) PA,,,,
536,East liempfield (Lane) PA,,,,
553,"Kathelsdorf, Moravia",,,,
554,"Probstzell, Saxony",,,,
559,Schaeffertown,,,,
572,"Isle of Nevis, WI",,,,
581,Indianfield PA,,,,
594,Seeond River,,,,
596,Rhinebeck Flats (Dutchess) NY,,,,
604,Loyalist refugee,,,,
618,"Langen-Reinsdorf, Zwichau, Saxony",,,,
619,New Germantown (Hunterdon) NJ,,,,
620,Hillsborough near Harlingen,,,,
628,"Klickenberg, NY",,,,
629,"Langen Rack, NY",,,,
635,"Tarbush, NY",,,,
637,Kaatsbaan (Ulster) NY,,,,
639,"Theosophieal Community, Wissahiekon, PA",,,,
642,"Middletown, as an assistant)",,,,
645,Mingo near Royersford,,,,
650,"South: Craig's, now Bath)",,,,
652,Monoeasy (Frederiek) MD,,,,
657,Oley Hill PA 1793,,,,
658,Moselem in Riehmond PA 1793,,,,
659,Bieber Creek in Roekland PA 1793,,,,
664,Braunschweig PA 1793,,,,
673,"Koenigswalde, Saxony",,,,
674,Trenton (Mereer) NJ,,,,
675,"Chester Circuit, Chester co PA",,,,
680,Upper Tulpehoeken (Berks) PA,,,,
687,Christiana Bridge (New Castle) Del,,,,
701,Mount Bethel (Lehigh) PA,,,,
702,"Crosweeksung, near Freehold, NJ",,,,
711,"Paulin's Kill, N J",,,,
712,"Gnadenhuetten, PA",,,,
713,"Wequodnoc in Sharon, CT",,,,
719,Qrd Patterson (Putnam) NYov,,,,
725,"Tredyffryn, PA",,,,
726,Clarkesboro (Cumberland) N J,,,,
727,Gloucester City (Cumb) NJ,,,,
729,"Greenwich, formerly Waterford, NJ",,,,
730,"Gloueester and Waterford, NJ",,,,
731,Shelburne Parish (Loudoun) Va,,,,
734,Tredyffryn (Chester) PA,,,,
